0 0.000000 -0.002477
1 1.929531 0.036006
2 0.968233 -0.036838
3 1.999598 -0.019727
4 -0.029881 -0.060861
5 -0.113859 -0.029462


0 0.000000 -0.002477
1 1.929531 0.036006
2 0.968233 -0.036838
3 1.999598 -0.019727
4 -0.029881 -0.060861
5 -0.113859 -0.029462
6 0.074274 0.017033
7 0.042794 0.005983
8 0.061904 -0.008964
9 -0.019584 -0.028556
10 -0.019742 -0.001171
11 0.024550 0.025952
12 -0.060440 0.016656
13 0.062567 0.041213
14 -0.028869 -0.012333
15 -0.082491 -0.019065
16 -0.038322 0.012901
17 -0.078816 0.045586
18 0.016868 -0.032631
19 -0.048957 0.074196
20 -0.000328 -0.006513
21 0.026232 0.005633
22 -0.026233 -0.036484
23 0.000733 0.002916
24 -0.028117 -0.025471
25 -0.030811 -0.059524
26 0.049947 -0.075400
27 0.010826 0.012470
28 -0.038230 0.024637
29 -0.017818 0.003486
30 0.023019 -0.042481
